Depth[m]	Vp[m/s]	Density[kg/m3]
1611.48	3025.5	2413
1611.63	2891.8	2429
1611.78	2849.9	2390
1611.93	2844.4	2361
1612.09	2885.3	2402
1612.24	2989.6	2426
1612.39	2943.2	2348
1612.54	2875.0	2340
1612.70	2844.0	2312
1612.85	2857.6	2310
1613.00	2897.9	2277
1613.15	2937.8	2240
1613.31	2960.8	2214
1613.46	2937.4	2228
1613.61	2912.7	2252
1613.76	2888.5	2235
1613.92	2864.6	2216
1614.07	2849.4	2201
1614.22	2894.4	2179
1614.37	2972.7	2160
1614.53	3055.9	2187
1614.68	3129.4	2206
1614.83	3082.7	2229
1614.98	3010.6	2283
1615.14	2942.5	2334
1615.29	2883.0	2378
1615.44	2859.1	2401
1615.59	2882.4	2434
1615.74	2903.8	2429
1615.90	2928.4	2421
1616.05	2975.2	2413
1616.20	3023.4	2411
1616.35	3070.0	2419
1616.51	3101.2	2426
1616.66	3089.1	2426
1616.81	3066.3	2420
1616.96	3091.9	2426
1617.12	3147.2	2413
1617.27	3187.4	2390
1617.42	3245.0	2377
1617.57	3358.2	2382
1617.73	3453.7	2412
1617.88	3494.2	2451
1618.03	3552.9	2483
1618.18	3488.4	2483
1618.34	3372.8	2454
1618.49	3332.1	2441
1618.64	3307.5	2409
1618.79	3024.2	2374
1618.95	2787.3	2382
1619.10	2590.5	2372
1619.25	2497.8	2394
1619.40	2943.8	2408
1619.55	3151.7	2359
1619.71	3264.5	2326
1619.86	3286.6	2341
1620.01	3259.8	2336
1620.16	3090.7	2343
1620.32	2982.6	2352
1620.47	2961.0	2364
1620.62	2794.4	2312
1620.77	2698.2	2320
1620.93	3108.8	2332
1621.08	3115.5	2338
1621.23	3065.3	2337
1621.38	3019.0	2318
1621.54	2989.6	2314
1621.69	3052.3	2309
1621.84	3104.1	2296
1621.99	3154.5	2278
1622.15	3172.1	2275
1622.30	3143.7	2315
1622.45	3116.1	2322
1622.60	3089.0	2324
1622.76	3069.6	2349
1622.91	3052.7	2367
1623.06	3052.9	2371
1623.21	3064.9	2381
1623.36	3056.7	2364
1623.52	3054.9	2348
1623.67	3059.5	2332
1623.82	3003.4	2318
1623.97	2857.2	2331
1624.13	2716.3	2344
1624.28	2672.7	2357
1624.43	2702.3	2364
1624.58	2727.6	2371
1624.74	2818.2	2304
1624.89	2943.2	2340
1625.04	2969.7	2408
1625.19	2995.2	2393
1625.35	2953.2	2419
1625.50	2913.0	2450
1625.65	2971.5	2403
1625.80	3004.2	2376
1625.96	2969.6	2408
1626.11	2961.5	2405
1626.26	2997.4	2400
1626.41	3033.7	2397
1626.57	3070.9	2394
1626.72	3078.8	2348
1626.87	3060.2	2391
1627.02	3026.5	2373
1627.17	2981.7	2357
1627.33	2938.6	2350
1627.48	2905.1	2380
1627.63	2998.8	2397
1627.78	3081.4	2344
1627.94	3158.5	2356
1628.09	3194.7	2369
1628.24	3071.6	2344
1628.39	2924.8	2324
1628.55	2832.5	2298
1628.70	2883.0	2271
1628.85	3261.6	2254
1629.00	3805.2	2247
1629.16	4187.5	2302
1629.31	3835.9	2390
1629.46	3214.8	2476
1629.61	3116.9	2556
1629.77	3174.9	2567
1629.92	2741.8	2560
1630.07	2390.3	2533
1630.22	2233.3	2507
1630.38	2483.3	2444
1630.53	2654.1	2390
1630.68	2700.5	2400
1630.83	2373.1	2414
1630.98	2538.3	2429
1631.14	2877.6	2453
1631.29	2736.8	2480
1631.44	2531.4	2505
1631.59	2257.9	2436
1631.75	2435.4	2361
1631.90	2738.0	2328
1632.05	2839.6	2338
1632.20	2914.4	2330
1632.36	2917.6	2239
1632.51	2902.7	2203
1632.66	2888.4	2178
1632.81	2899.7	2160
1632.97	2910.3	2166
1633.12	2879.8	2188
1633.27	2851.3	2217
1633.42	2823.3	2225
1633.58	2809.2	2228
1633.73	2889.4	2245
1633.88	2946.2	2293
1634.03	3004.6	2346
1634.19	3035.0	2399
1634.34	3035.6	2424
1634.49	3036.9	2416
1634.64	3019.0	2429
1634.79	3004.9	2416
1634.95	2999.0	2425
1635.10	2993.1	2405
1635.25	3006.1	2383
1635.40	3048.5	2381
1635.56	3092.8	2372
1635.71	3120.1	2381
1635.86	3020.2	2384
1636.01	2917.7	2388
1636.17	2821.9	2415
1636.32	2786.2	2428
1636.47	2875.4	2419
1636.62	2940.6	2432
1636.78	2959.3	2445
1636.93	3003.5	2437
1637.08	2975.1	2431
1637.23	2868.7	2454
1637.39	2850.9	2472
1637.54	2966.7	2443
1637.69	3104.3	2409
